 --- Cosmological Parameters --- 
	 H0: 2.1927e-18 (1/s) = 67.6600 (km/s/Mpc) 
	 OmegaM: 0.0000e+00 
	 OmegaR: 1.0000e+00 
	 OmegaL: 0.0000e+00 
	 OmegaK: 0.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.6009e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99850020e-05, 4.99900015e-01, 9.99900010e-05, 9.99900010e-01, 6.76735327e+01
2.00410782e+00, 4.77715515e-01, 3.32877533e-01, 4.44596274e-01, 5.54037262e-02, 6.67122467e-01, 3.32877533e-01, 6.10608751e+02
4.00811563e+00, 6.99674348e-01, 1.99675901e-01, 4.80064767e-01, 1.99352327e-02, 8.00324099e-01, 1.99675901e-01, 1.69699549e+03
6.01212345e+00, 8.45849553e-01, 1.42610153e-01, 4.89831172e-01, 1.01688279e-02, 8.57389847e-01, 1.42610153e-01, 3.32683376e+03
8.01613126e+00, 9.55020226e-01, 1.10912316e-01, 4.93849229e-01, 6.15077092e-03, 8.89087684e-01, 1.10912316e-01, 5.50012355e+03
1.00201391e+01, 1.04218708e+00, 9.07429564e-02, 4.95882858e-01, 4.11714207e-03, 9.09257044e-01, 9.07429564e-02, 8.21686486e+03
1.20241469e+01, 1.11474929e+00, 7.67804608e-02, 4.97052380e-01, 2.94761958e-03, 9.23219539e-01, 7.67804608e-02, 1.14770577e+04
1.40281547e+01, 1.17690566e+00, 6.65417691e-02, 4.97786096e-01, 2.21390351e-03, 9.33458231e-01, 6.65417691e-02, 1.52807021e+04
1.60321625e+01, 1.23126979e+00, 5.87124505e-02, 4.98276424e-01, 1.72357592e-03, 9.41287549e-01, 5.87124505e-02, 1.96277979e+04
1.80361703e+01, 1.27957958e+00, 5.25315745e-02, 4.98620217e-01, 1.37978316e-03, 9.47468426e-01, 5.25315745e-02, 2.45183454e+04
2.00401782e+01, 1.32304941e+00, 4.75281147e-02, 4.98870539e-01, 1.12946084e-03, 9.52471885e-01, 4.75281147e-02, 2.99523443e+04
2.20441860e+01, 1.36256137e+00, 4.33948937e-02, 4.99058442e-01, 9.41558398e-04, 9.56605106e-01, 4.33948937e-02, 3.59297948e+04
2.40481938e+01, 1.39877641e+00, 3.99230383e-02, 4.99203076e-01, 7.96924494e-04, 9.60076962e-01, 3.99230383e-02, 4.24506967e+04
2.60522016e+01, 1.43220262e+00, 3.69655681e-02, 4.99316773e-01, 6.83226612e-04, 9.63034432e-01, 3.69655681e-02, 4.95150502e+04
2.80562094e+01, 1.46323896e+00, 3.44160515e-02, 4.99407768e-01, 5.92232301e-04, 9.65583948e-01, 3.44160515e-02, 5.71228553e+04
3.00602172e+01, 1.49220449e+00, 3.21955250e-02, 4.99481724e-01, 5.18275915e-04, 9.67804475e-01, 3.21955250e-02, 6.52741118e+04
3.20642251e+01, 1.51935835e+00, 3.02441687e-02, 4.99542645e-01, 4.57354870e-04, 9.69755831e-01, 3.02441687e-02, 7.39688199e+04
3.40682329e+01, 1.54491388e+00, 2.85158366e-02, 4.99593424e-01, 4.06576470e-04, 9.71484163e-01, 2.85158366e-02, 8.32069795e+04
3.60722407e+01, 1.56904884e+00, 2.69743609e-02, 4.99636192e-01, 3.63808073e-04, 9.73025639e-01, 2.69743609e-02, 9.29885906e+04
